RprtDt,StateCd,NDISDsbltyGrpNm,ICDDsbltyNm,Primary,Reported
31DEC2022,ACT,Other,G90.5 - Chronic Regional Pain Syndrome,<11,<11
31DEC2022,ACT,Other,I49.8 - Postural Orthostatic Tachycardia Syndrome (POTS),<11,<11
31DEC2022,ACT,Other,I89.0 - Lymphoedema,<11,<11
31DEC2022,ACT,Other,J44.9 - Chronic lung disease,<11,<11
31DEC2022,ACT,Other,J449A - Chronic Obstructive Pulmonary Disease (COPD),<11,<11
31DEC2022,ACT,Other,M19.9 - Osteoarthritis,<11,<11
31DEC2022,ACT,Other,M32 - Systemic lupus erythematosus,<11,<11
31DEC2022,ACT,Other,M45 - Ankylosing spondylitis,<11,<11
31DEC2022,ACT,Other,M79.7 - Fibromyalgia,<11,<11
31DEC2022,ACT,Other,N18 - Renal failure,<11,<11
31DEC2022,ACT,Other,Q37 - Cleft palate and lip,<11,<11
31DEC2022,ACT,Other,Q79.6 - Ehlers Danlos,<11,15
31DEC2022,ACT,Other,R48 - Dyslexia,<11,<11
31DEC2022,ACT,Other,R48.2 - Childhood apraxia of speech,13,15
31DEC2022,ACT,Other,R53.8 - Chronic fatigue /ME,<11,<11
31DEC2022,ACT,Other,R62.5 - Short stature,<11,<11
31DEC2022,ACT,Other,S14.3 - Brachial plexus injury,<11,<11
31DEC2022,ACT,Other,Z89 - Amputation - Single limb or upper/lower limb,26,29
31DEC2022,ACT,Other,Z89.1 - Amputation - Multiple,<11,<11
31DEC2022,ACT,Other Neurological,F00 - Alzheimer's disease,34,41
31DEC2022,ACT,Other Neurological,F03 - Unspecified dementia,26,36
31DEC2022,ACT,Other Neurological,G10 - Huntington disease,<11,<11
31DEC2022,ACT,Other Neurological,G12.2 - Motor neuron disease (also called amytrophic lateral sclerosis),16,16
31DEC2022,ACT,Other Neurological,G20 - Parkinson's disease,68,75
31DEC2022,ACT,Other Neurological,G40 - Epilepsy,24,270
31DEC2022,ACT,Other Neurological,G71.0 - Muscular dystrophy,41,44
31DEC2022,ACT,Other Neurological,G99 - Other Neurological,137,247
31DEC2022,ACT,Other Neurological,G99 - Other Neurological (List A),44,81
31DEC2022,ACT,Other Neurological,G99 - Other Neurological (List C),<11,<11
31DEC2022,ACT,Other Physical,M05 - Rheumatoid arthritis,59,78
31DEC2022,ACT,Other Physical,M12 - Other arthritis,19,61
31DEC2022,ACT,Other Physical,M95 - Other Physical,403,752
31DEC2022,ACT,Other Physical,T05 - Multiple traumatic amputations,54,59
31DEC2022,ACT,Other Sensory/Speech,R47 - Other Sensory/Speech,72,251
31DEC2022,ACT,Psychosocial disability,F11 - Alcohol dependency,<11,<11
31DEC2022,ACT,Psychosocial disability,F19 - Other substance dependency,<11,<11
31DEC2022,ACT,Psychosocial disability,F20 - Schizophrenia,652,712
31DEC2022,ACT,Psychosocial disability,F25.9 - Schizoaffective Disorder,41,45
31DEC2022,ACT,Psychosocial disability,F31 - Bipolar affective disorder,134,201
31DEC2022,ACT,Psychosocial disability,F32 - Major depressive illness,56,183
31DEC2022,ACT,Psychosocial disability,F41 - Other Anxiety disorders,25,340
31DEC2022,ACT,Psychosocial disability,F42 - Obsessive-compulsive disorder,<11,48
31DEC2022,ACT,Psychosocial disability,F43 - Post traumatic stress disorder (PTSD),29,65
31DEC2022,ACT,Psychosocial disability,F60.3 - Borderline personality disorder,38,81
31DEC2022,ACT,Psychosocial disability,F95.2 - Tourette syndrome,<11,<11
31DEC2022,ACT,Psychosocial disability,F99 - Other psychosocial disorders,161,465
31DEC2022,ACT,Psychosocial disability,R63 - Anorexia,<11,<11
31DEC2022,ACT,Spinal Cord Injury,T09.5 - Spinal cord injury (Complete),32,37
31DEC2022,ACT,Spinal Cord Injury,T09.7 - Spinal cord injury (Incomplete),48,50
31DEC2022,ACT,Stroke,I69 - Stroke,141,171
31DEC2022,ACT,Visual Impairment,E70.3 - Albinism,<11,<11
31DEC2022,ACT,Visual Impairment,F72.9 - Myopathy (variations),<11,<11
31DEC2022,ACT,Visual Impairment,H54 - Visual impairment (including blindness),173,304
31DEC2022,ACT,Visual Impairment,Q15.9 - Congenital eye condition,<11,<11
31DEC2022,All,ABI,All,17385,20715
31DEC2022,All,ABI,G71.9 - Glioblastoma,34,38
31DEC2022,All,ABI,G93.1 - Hypoxic brain injury,446,560
31DEC2022,All,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],16905,20117
31DEC2022,All,Autism,All,199367,215191
31DEC2022,All,Autism,F84.0 - Autism disorder,196439,211041
31DEC2022,All,Autism,F84.2 - Rett syndrome,431,466
31DEC2022,All,Autism,F84.5 - Asperger syndrome,2497,3684
31DEC2022,All,Cerebral Palsy,All,17468,21632
31DEC2022,All,Cerebral Palsy,G80 - Cerebral palsy,17468,21632
31DEC2022,All,Developmental delay,All,56811,60130
31DEC2022,All,Developmental delay,F84.90 - Developmental delay [not to be used over 6 years of age ],56811,60130
31DEC2022,All,Down Syndrome,All,11595,12377
31DEC2022,All,Down Syndrome,Q90 - Down syndrome,11595,12377
31DEC2022,All,Global developmental delay,All,13312,19206
31DEC2022,All,Global developmental delay,F84.91 - Global developmental delay [not to be used over 6 years of age],13312,19206
31DEC2022,All,Hearing Impairment,All,25615,36291
31DEC2022,All,Hearing Impairment,H90 - Hearing loss,25355,35693
31DEC2022,All,Hearing Impairment,Q16.9 - Congenital hearing condition,260,598
31DEC2022,All,Intellectual Disability,All,87212,132410
31DEC2022,All,Intellectual Disability,F70 - Mild intellectual disability,18879,29952
31DEC2022,All,Intellectual Disability,F71 - Moderate intellectual disability,21075,29764
31DEC2022,All,Intellectual Disability,F72 - Severe intellectual disability,6165,9037
31DEC2022,All,Intellectual Disability,F73 - Profound intellectual disability,872,1276
31DEC2022,All,Intellectual Disability,F79 - Unspecified intellectual disability [try not to use],23561,38919
31DEC2022,All,Intellectual Disability,F84.8 - Pervasive developmental disorder [try not to use],118,309
31DEC2022,All,Intellectual Disability,Q02 - Microcephaly,616,1356
31DEC2022,All,Intellectual Disability,"Q04 - Other congenital brain conditions, for example tuberous sclerosis",628,905
31DEC2022,All,Intellectual Disability,Q05 - Spina bifida,2180,2464
31DEC2022,All,Intellectual Disability,Q86.0 - Foetal alcohol syndrome,1096,1602
31DEC2022,All,Intellectual Disability,Q86.0D - Foetal Alcohol Spectrum Disorder (FASD),12,17
31DEC2022,All,Intellectual Disability,Q860D - Foetal Alcohol Spectrum Disorder (FASD),850,1091
31DEC2022,All,Intellectual Disability,Q87.1 - Cornelia de Lange syndrome,199,227
31DEC2022,All,Intellectual Disability,Q87.1 - Prader Willi syndrome,581,635
31DEC2022,All,Intellectual Disability,Q87.8 - Coffin-Lowry syndrome,44,49
31DEC2022,All,Intellectual Disability,Q89 - Other congenital conditions,2226,3531
31DEC2022,All,Intellectual Disability,Q91 - Edwards syndrome,30,33
31DEC2022,All,Intellectual Disability,Q91 - Patau syndrome,11,12
31DEC2022,All,Intellectual Disability,Q93.4 - Cri du  Chat syndrome,172,187
31DEC2022,All,Intellectual Disability,Q93.5 - Angelman  syndrome,452,499
31DEC2022,All,Intellectual Disability,"Q99 - Other chromosomal conditions not listed elsewhere, including Kabuki syndrome,Williams syndrome",6296,9118
31DEC2022,All,Intellectual Disability,Q99.2 - Fragile X syndrome,1149,1427
31DEC2022,All,Missing,,<11,393544
31DEC2022,All,Missing,All,<11,393592
31DEC2022,All,Missing,F849 - Migrated Record with DD or GDD [Needs to be updated in CRM],<11,48
31DEC2022,All,Multiple Sclerosis,All,9938,10116
31DEC2022,All,Multiple Sclerosis,G35 - Multiple sclerosis,9938,10116
31DEC2022,All,Other,All,7361,22029
31DEC2022,All,Other,B22 - Human immune deficiency virus (HIV) disease,25,132
31DEC2022,All,Other,B99 - Other unspecified infectious diseases,41,90
31DEC2022,All,Other,C71 - Malignant neoplasm of brain,18,31
31DEC2022,All,Other,C79.9 - Metastatic cancer,69,89
31DEC2022,All,Other,C96 - Malignant neoplasm of blood or immune disease,<11,21
31DEC2022,All,Other,D89.9 - Autoimmune disorders,52,97
31DEC2022,All,Other,E14 - Diabetes mellitus,56,3933
31DEC2022,All,Other,E66 - Obesity,16,1111
31DEC2022,All,Other,E70.0 - Classical Phenylketonuria,26,47
31DEC2022,All,Other,E74.4 - Disorders of pyruvate metabolism and gluconeogenesis,<11,11
31DEC2022,All,Other,E88 - Other metabolic disorders,247,339
31DEC2022,All,Other,F03.9 - Dementia - Rapidly progressing,223,270
31DEC2022,All,Other,F44.4 - Functional neurological disorder (FND),141,233
31DEC2022,All,Other,F44.5 - Functional Seizures,<11,44
31DEC2022,All,Other,F80 - Other Language disorder,99,420
31DEC2022,All,Other,F80.9 - Development language disorder,147,404
31DEC2022,All,Other,F81.0 - Specific learning disorder,33,175
31DEC2022,All,Other,F81.8 - Dysgraphia,<11,59
31DEC2022,All,Other,F90 - Attention deficit hyperactive disorder (ADHD),179,4437
31DEC2022,All,Other,F90.0 - Peripheral neuropathy,220,355
31DEC2022,All,Other,F91.3 - Oppositional Defiant Disorder (ODD),19,712
31DEC2022,All,Other,F91.9 - Conduct Disorder (CD),<11,56
31DEC2022,All,Other,G11.8 - Other hereditary ataxias,54,59
31DEC2022,All,Other,G30.0 - Dementia - Early Onset,726,916
31DEC2022,All,Other,G83.1 - Plegia,174,266
31DEC2022,All,Other,G89.4 - Chronic pain,57,307
31DEC2022,All,Other,G90.5 - Chronic Regional Pain Syndrome,27,62
31DEC2022,All,Other,I49.8 - Postural Orthostatic Tachycardia Syndrome (POTS),22,80
31DEC2022,All,Other,I89.0 - Lymphoedema,28,118
31DEC2022,All,Other,J44.9 - Chronic lung disease,180,476
31DEC2022,All,Other,J44.9A - Chronic Obstructive Pulmonary Disease (COPD),<11,<11
31DEC2022,All,Other,J449A - Chronic Obstructive Pulmonary Disease (COPD),140,257
31DEC2022,All,Other,M19.9 - Osteoarthritis,71,437
31DEC2022,All,Other,M32 - Systemic lupus erythematosus,39,101
31DEC2022,All,Other,M45 - Ankylosing spondylitis,93,159
31DEC2022,All,Other,M79.7 - Fibromyalgia,63,335
31DEC2022,All,Other,N18 - Renal failure,63,304
31DEC2022,All,Other,Q37 - Cleft palate and lip,29,240
31DEC2022,All,Other,Q79.6 - Ehlers Danlos,337,553
31DEC2022,All,Other,R48 - Dyslexia,<11,117
31DEC2022,All,Other,R48.2 - Childhood apraxia of speech,831,1005
31DEC2022,All,Other,R53.8 - Chronic fatigue /ME,74,156
31DEC2022,All,Other,R62.5 - Short stature,36,55
31DEC2022,All,Other,S14.3 - Brachial plexus injury,39,63
31DEC2022,All,Other,Z89 - Amputation - Single limb or upper/lower limb,2333,2541
31DEC2022,All,Other,Z89.1 - Amputation - Multiple,299,348
31DEC2022,All,Other Neurological,All,21811,49263
31DEC2022,All,Other Neurological,F00 - Alzheimer's disease,1883,2112
31DEC2022,All,Other Neurological,F03 - Unspecified dementia,1290,1910
31DEC2022,All,Other Neurological,G10 - Huntington disease,1030,1058
31DEC2022,All,Other Neurological,G12.2 - Motor neuron disease (also called amytrophic lateral sclerosis),861,875
31DEC2022,All,Other Neurological,G20 - Parkinson's disease,3139,3452
31DEC2022,All,Other Neurological,G40 - Epilepsy,814,16558
31DEC2022,All,Other Neurological,G71.0 - Muscular dystrophy,2480,2740
31DEC2022,All,Other Neurological,G99 - Other Neurological,9849,19798
31DEC2022,All,Other Neurological,G99 - Other Neurological (List A),414,676
31DEC2022,All,Other Neurological,G99 - Other Neurological (List C),51,84
31DEC2022,All,Other Physical,All,19633,47185
31DEC2022,All,Other Physical,M05 - Rheumatoid arthritis,1705,2410
31DEC2022,All,Other Physical,M12 - Other arthritis,512,2303
31DEC2022,All,Other Physical,M95 - Other Physical,16370,41301
31DEC2022,All,Other Physical,T05 - Multiple traumatic amputations,1046,1171
31DEC2022,All,Other Sensory/Speech,All,2154,18767
31DEC2022,All,Other Sensory/Speech,R47 - Other Sensory/Speech,2154,18767
31DEC2022,All,Psychosocial disability,All,59512,127559
31DEC2022,All,Psychosocial disability,F11 - Alcohol dependency,17,466
31DEC2022,All,Psychosocial disability,F19 - Other substance dependency,<11,548
31DEC2022,All,Psychosocial disability,F20 - Schizophrenia,29776,34580
31DEC2022,All,Psychosocial disability,F25.9 - Schizoaffective Disorder,2841,3239
31DEC2022,All,Psychosocial disability,F31 - Bipolar affective disorder,5765,9826
31DEC2022,All,Psychosocial disability,F32 - Major depressive illness,5137,14797
31DEC2022,All,Psychosocial disability,F41 - Other Anxiety disorders,1819,26842
31DEC2022,All,Psychosocial disability,F42 - Obsessive-compulsive disorder,295,2774
31DEC2022,All,Psychosocial disability,F43 - Post traumatic stress disorder (PTSD),2566,5789
31DEC2022,All,Psychosocial disability,F60.3 - Borderline personality disorder,2366,5010
31DEC2022,All,Psychosocial disability,F95.2 - Tourette syndrome,28,220
31DEC2022,All,Psychosocial disability,F99 - Other psychosocial disorders,8881,23378
31DEC2022,All,Psychosocial disability,R63 - Anorexia,20,90
31DEC2022,All,Spinal Cord Injury,All,5697,6176
31DEC2022,All,Spinal Cord Injury,C72.5 - Malignant neoplasm of spinal cord (Complete),<11,<11
31DEC2022,All,Spinal Cord Injury,C72.7 - Malignant neoplasm of spinal cord (Incomplete),13,19
31DEC2022,All,Spinal Cord Injury,T09.5 - Spinal cord injury (Complete),2467,2605
31DEC2022,All,Spinal Cord Injury,T09.7 - Spinal cord injury (Incomplete),3214,3546
31DEC2022,All,Stroke,All,8592,10495
31DEC2022,All,Stroke,I69 - Stroke,8592,10495
31DEC2022,All,Visual Impairment,All,9877,19232
31DEC2022,All,Visual Impairment,E70.3 - Albinism,86,136
31DEC2022,All,Visual Impairment,F72.9 - Myopathy (variations),85,100
31DEC2022,All,Visual Impairment,H54 - Visual impairment (including blindness),9610,18778
31DEC2022,All,Visual Impairment,Q15.9 - Congenital eye condition,96,218
31DEC2022,Mis,Autism,F84.0 - Autism disorder,<11,<11
31DEC2022,Mis,Intellectual Disability,F79 - Unspecified intellectual disability [try not to use],<11,<11
31DEC2022,Mis,Other Sensory/Speech,R47 - Other Sensory/Speech,<11,<11
31DEC2022,NSW,ABI,G71.9 - Glioblastoma,<11,11
31DEC2022,NSW,ABI,G93.1 - Hypoxic brain injury,166,214
31DEC2022,NSW,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],4642,5509
31DEC2022,NSW,Autism,F84.0 - Autism disorder,57695,62219
31DEC2022,NSW,Autism,F84.2 - Rett syndrome,141,152
31DEC2022,NSW,Autism,F84.5 - Asperger syndrome,780,1192
31DEC2022,NSW,Cerebral Palsy,G80 - Cerebral palsy,5594,6906
31DEC2022,NSW,Developmental delay,F84.90 - Developmental delay [not to be used over 6 years of age ],15275,16636
31DEC2022,NSW,Down Syndrome,Q90 - Down syndrome,3768,4003
31DEC2022,NSW,Global developmental delay,F84.91 - Global developmental delay [not to be used over 6 years of age],4820,7889
31DEC2022,NSW,Hearing Impairment,H90 - Hearing loss,7900,11258
31DEC2022,NSW,Hearing Impairment,Q16.9 - Congenital hearing condition,78,207
31DEC2022,NSW,Intellectual Disability,F70 - Mild intellectual disability,6643,11067
31DEC2022,NSW,Intellectual Disability,F71 - Moderate intellectual disability,8251,12123
31DEC2022,NSW,Intellectual Disability,F72 - Severe intellectual disability,2629,3917
31DEC2022,NSW,Intellectual Disability,F73 - Profound intellectual disability,258,359
31DEC2022,NSW,Intellectual Disability,F79 - Unspecified intellectual disability [try not to use],4055,7217
31DEC2022,NSW,Intellectual Disability,F84.8 - Pervasive developmental disorder [try not to use],36,96
31DEC2022,NSW,Intellectual Disability,Q02 - Microcephaly,231,526
31DEC2022,NSW,Intellectual Disability,"Q04 - Other congenital brain conditions, for example tuberous sclerosis",219,309
31DEC2022,NSW,Intellectual Disability,Q05 - Spina bifida,691,771
31DEC2022,NSW,Intellectual Disability,Q86.0 - Foetal alcohol syndrome,308,461
31DEC2022,NSW,Intellectual Disability,Q860D - Foetal Alcohol Spectrum Disorder (FASD),174,242
31DEC2022,NSW,Intellectual Disability,Q87.1 - Cornelia de Lange syndrome,50,57
31DEC2022,NSW,Intellectual Disability,Q87.1 - Prader Willi syndrome,189,210
31DEC2022,NSW,Intellectual Disability,Q87.8 - Coffin-Lowry syndrome,13,15
31DEC2022,NSW,Intellectual Disability,Q89 - Other congenital conditions,749,1238
31DEC2022,NSW,Intellectual Disability,Q91 - Edwards syndrome,<11,<11
31DEC2022,NSW,Intellectual Disability,Q91 - Patau syndrome,<11,<11
31DEC2022,NSW,Intellectual Disability,Q93.4 - Cri du  Chat syndrome,54,62
31DEC2022,NSW,Intellectual Disability,Q93.5 - Angelman  syndrome,138,157
31DEC2022,NSW,Intellectual Disability,"Q99 - Other chromosomal conditions not listed elsewhere, including Kabuki syndrome,Williams syndrome",2251,3229
31DEC2022,NSW,Intellectual Disability,Q99.2 - Fragile X syndrome,424,521
31DEC2022,NSW,Missing,,<11,113496
31DEC2022,NSW,Missing,F849 - Migrated Record with DD or GDD [Needs to be updated in CRM],<11,<11
31DEC2022,NSW,Multiple Sclerosis,G35 - Multiple sclerosis,2721,2772
31DEC2022,NSW,Other,B22 - Human immune deficiency virus (HIV) disease,19,76
31DEC2022,NSW,Other,B99 - Other unspecified infectious diseases,<11,29
31DEC2022,NSW,Other,C71 - Malignant neoplasm of brain,<11,12
31DEC2022,NSW,Other,C79.9 - Metastatic cancer,29,34
31DEC2022,NSW,Other,C96 - Malignant neoplasm of blood or immune disease,<11,<11
31DEC2022,NSW,Other,D89.9 - Autoimmune disorders,20,32
31DEC2022,NSW,Other,E14 - Diabetes mellitus,20,1412
31DEC2022,NSW,Other,E66 - Obesity,<11,483
31DEC2022,NSW,Other,E70.0 - Classical Phenylketonuria,16,24
31DEC2022,NSW,Other,E74.4 - Disorders of pyruvate metabolism and gluconeogenesis,<11,<11
31DEC2022,NSW,Other,E88 - Other metabolic disorders,78,111
31DEC2022,NSW,Other,F03.9 - Dementia - Rapidly progressing,65,86
31DEC2022,NSW,Other,F44.4 - Functional neurological disorder (FND),30,52
31DEC2022,NSW,Other,F44.5 - Functional Seizures,<11,11
31DEC2022,NSW,Other,F80 - Other Language disorder,18,151
31DEC2022,NSW,Other,F80.9 - Development language disorder,43,151
31DEC2022,NSW,Other,F81.0 - Specific learning disorder,11,71
31DEC2022,NSW,Other,F81.8 - Dysgraphia,<11,11
31DEC2022,NSW,Other,F90 - Attention deficit hyperactive disorder (ADHD),68,1702
31DEC2022,NSW,Other,F90.0 - Peripheral neuropathy,56,103
31DEC2022,NSW,Other,F91.3 - Oppositional Defiant Disorder (ODD),<11,422
31DEC2022,NSW,Other,F91.9 - Conduct Disorder (CD),<11,20
31DEC2022,NSW,Other,G11.8 - Other hereditary ataxias,12,13
31DEC2022,NSW,Other,G30.0 - Dementia - Early Onset,242,308
31DEC2022,NSW,Other,G83.1 - Plegia,54,81
31DEC2022,NSW,Other,G89.4 - Chronic pain,14,92
31DEC2022,NSW,Other,G90.5 - Chronic Regional Pain Syndrome,<11,17
31DEC2022,NSW,Other,I49.8 - Postural Orthostatic Tachycardia Syndrome (POTS),<11,17
31DEC2022,NSW,Other,I89.0 - Lymphoedema,<11,33
31DEC2022,NSW,Other,J44.9 - Chronic lung disease,61,162
31DEC2022,NSW,Other,J449A - Chronic Obstructive Pulmonary Disease (COPD),39,76
31DEC2022,NSW,Other,M19.9 - Osteoarthritis,21,118
31DEC2022,NSW,Other,M32 - Systemic lupus erythematosus,19,44
31DEC2022,NSW,Other,M45 - Ankylosing spondylitis,23,45
31DEC2022,NSW,Other,M79.7 - Fibromyalgia,16,83
31DEC2022,NSW,Other,N18 - Renal failure,23,104
31DEC2022,NSW,Other,Q37 - Cleft palate and lip,13,107
31DEC2022,NSW,Other,Q79.6 - Ehlers Danlos,66,104
31DEC2022,NSW,Other,R48 - Dyslexia,<11,39
31DEC2022,NSW,Other,R48.2 - Childhood apraxia of speech,321,388
31DEC2022,NSW,Other,R53.8 - Chronic fatigue /ME,17,42
31DEC2022,NSW,Other,R62.5 - Short stature,<11,15
31DEC2022,NSW,Other,S14.3 - Brachial plexus injury,12,19
31DEC2022,NSW,Other,Z89 - Amputation - Single limb or upper/lower limb,713,772
31DEC2022,NSW,Other,Z89.1 - Amputation - Multiple,74,88
31DEC2022,NSW,Other Neurological,F00 - Alzheimer's disease,595,688
31DEC2022,NSW,Other Neurological,F03 - Unspecified dementia,495,743
31DEC2022,NSW,Other Neurological,G10 - Huntington disease,307,316
31DEC2022,NSW,Other Neurological,G12.2 - Motor neuron disease (also called amytrophic lateral sclerosis),268,272
31DEC2022,NSW,Other Neurological,G20 - Parkinson's disease,1131,1253
31DEC2022,NSW,Other Neurological,G40 - Epilepsy,236,5683
31DEC2022,NSW,Other Neurological,G71.0 - Muscular dystrophy,790,887
31DEC2022,NSW,Other Neurological,G99 - Other Neurological,2897,6004
31DEC2022,NSW,Other Neurological,G99 - Other Neurological (List A),145,243
31DEC2022,NSW,Other Neurological,G99 - Other Neurological (List C),15,27
31DEC2022,NSW,Other Physical,M05 - Rheumatoid arthritis,502,707
31DEC2022,NSW,Other Physical,M12 - Other arthritis,139,701
31DEC2022,NSW,Other Physical,M95 - Other Physical,4718,12154
31DEC2022,NSW,Other Physical,T05 - Multiple traumatic amputations,382,440
31DEC2022,NSW,Other Sensory/Speech,R47 - Other Sensory/Speech,819,7260
31DEC2022,NSW,Psychosocial disability,F11 - Alcohol dependency,<11,179
31DEC2022,NSW,Psychosocial disability,F19 - Other substance dependency,<11,207
31DEC2022,NSW,Psychosocial disability,F20 - Schizophrenia,9967,11541
31DEC2022,NSW,Psychosocial disability,F25.9 - Schizoaffective Disorder,831,952
31DEC2022,NSW,Psychosocial disability,F31 - Bipolar affective disorder,1726,3106
31DEC2022,NSW,Psychosocial disability,F32 - Major depressive illness,1287,4050
31DEC2022,NSW,Psychosocial disability,F41 - Other Anxiety disorders,520,8844
31DEC2022,NSW,Psychosocial disability,F42 - Obsessive-compulsive disorder,92,1009
31DEC2022,NSW,Psychosocial disability,F43 - Post traumatic stress disorder (PTSD),658,1604
31DEC2022,NSW,Psychosocial disability,F60.3 - Borderline personality disorder,538,1215
31DEC2022,NSW,Psychosocial disability,F95.2 - Tourette syndrome,<11,83
31DEC2022,NSW,Psychosocial disability,F99 - Other psychosocial disorders,1933,6452
31DEC2022,NSW,Psychosocial disability,R63 - Anorexia,<11,32
31DEC2022,NSW,Spinal Cord Injury,C72.5 - Malignant neoplasm of spinal cord (Complete),<11,<11
31DEC2022,NSW,Spinal Cord Injury,C72.7 - Malignant neoplasm of spinal cord (Incomplete),<11,<11
31DEC2022,NSW,Spinal Cord Injury,T09.5 - Spinal cord injury (Complete),847,890
31DEC2022,NSW,Spinal Cord Injury,T09.7 - Spinal cord injury (Incomplete),959,1061
31DEC2022,NSW,Stroke,I69 - Stroke,2994,3581
31DEC2022,NSW,Visual Impairment,E70.3 - Albinism,15,29
31DEC2022,NSW,Visual Impairment,F72.9 - Myopathy (variations),28,36
31DEC2022,NSW,Visual Impairment,H54 - Visual impairment (including blindness),3047,6016
31DEC2022,NSW,Visual Impairment,Q15.9 - Congenital eye condition,33,86
31DEC2022,NT,ABI,G93.1 - Hypoxic brain injury,<11,<11
31DEC2022,NT,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],304,355
31DEC2022,NT,Autism,F84.0 - Autism disorder,1198,1251
31DEC2022,NT,Autism,F84.2 - Rett syndrome,<11,<11
31DEC2022,NT,Autism,F84.5 - Asperger syndrome,<11,<11
